Depth,DENB,GRDE,CADE                    
39.500,2.390,104.090,109.280,
39.600,2.380,140.420,109.560,
39.700,2.390,140.260,109.680,
39.800,2.410,95.370,109.690,
39.900,2.420,134.010,109.570,
40.000,2.420,111.810,109.170,
40.100,2.430,102.110,108.740,
40.200,2.430,112.470,108.450,
40.300,2.420,145.690,108.440,
40.400,2.410,113.790,108.450,
40.500,2.410,134.670,108.450,
40.600,2.410,114.940,108.450,
40.700,2.400,156.540,108.450,
40.800,2.400,129.740,108.460,
40.900,2.400,125.130,108.470,
41.000,2.410,131.220,108.450,
41.100,2.410,163.610,108.450,
41.200,2.420,133.680,108.430,
41.300,2.420,146.020,108.390,
41.400,2.420,146.180,108.090,
41.500,2.430,162.290,107.370,
41.600,2.430,128.750,106.700,
41.700,2.420,142.070,106.270,
41.800,2.410,140.100,106.380,
41.900,2.400,144.860,106.930,
42.000,2.410,137.960,107.570,
42.100,2.410,138.940,108.080,
42.200,2.430,120.690,108.160,
42.300,2.430,100.960,108.150,
42.400,2.440,120.530,108.190,
42.500,2.440,103.100,108.220,
42.600,2.440,146.180,108.230,
42.700,2.440,127.270,108.190,
42.800,2.440,137.460,108.160,
42.900,2.440,121.350,108.180,
43.000,2.440,98.660,108.200,
43.100,2.450,143.880,108.210,
43.200,2.440,141.250,108.180,
43.300,2.430,182.680,108.180,
43.400,2.430,121.840,108.180,
43.500,2.420,158.510,108.200,
43.600,2.420,153.910,108.210,
43.700,2.420,145.850,108.200,
43.800,2.430,110.830,108.190,
43.900,2.430,145.520,108.180,
44.000,2.430,113.290,108.200,
44.100,2.420,130.390,108.210,
44.200,2.440,137.630,108.190,
44.300,2.440,118.390,108.180,
44.400,2.450,147.660,108.180,
44.500,2.440,148.150,108.200,
44.600,2.450,96.190,108.200,
44.700,2.450,142.230,108.190,
44.800,2.460,97.510,108.190,
44.900,2.450,136.970,108.210,
45.000,2.450,123.650,108.200,
45.100,2.440,145.690,108.220,
45.200,2.450,134.670,108.220,
45.300,2.440,144.040,108.210,
45.400,2.440,110.830,108.190,
45.500,2.430,118.060,108.160,
45.600,2.430,141.900,108.180,
45.700,2.430,126.120,108.200,
45.800,2.420,116.750,108.210,
45.900,2.430,146.020,108.200,
46.000,2.440,117.240,108.220,
46.100,2.430,140.920,108.210,
46.200,2.430,142.400,108.170,
46.300,2.420,137.300,108.160,
46.400,2.430,137.140,108.190,
46.500,2.430,156.540,108.150,
46.600,2.430,127.430,107.690,
46.700,2.420,140.590,107.020,
46.800,2.420,117.730,106.430,
46.900,2.420,147.820,106.220,
47.000,2.430,191.890,106.180,
47.100,2.440,134.180,106.120,
47.200,2.430,122.670,106.050,
47.300,2.420,123.490,106.000,
47.400,2.400,92.080,106.000,
47.500,2.430,138.450,106.010,
