Depth,DENB,GRDE,CADE                    
47.5,2.43,138.45,106.01
47.6,2.48,137.46,106
47.7,2.5,99.81,105.99
47.8,2.47,129.9,105.98
47.9,2.43,131.55,105.96
48,2.42,122.83,105.96
48.1,2.4,111.98,105.99
48.2,2.39,122.17,106.01
48.3,2.42,145.85,106
48.4,2.43,142.89,106.01
48.5,2.41,151.11,106.05
48.6,2.39,144.37,106.13
48.7,2.4,120.53,106.19
48.8,2.42,102.11,106.24
48.9,2.42,126.12,106.25
49,2.41,128.75,106.25
49.1,2.41,125.63,106.23
49.2,2.42,120.86,106.12
49.3,2.42,105.07,106.04
49.4,2.42,98.49,105.95
49.5,2.41,139.11,105.91
49.6,2.4,126.94,105.86
49.7,2.39,140.42,105.76
49.8,2.38,112.14,105.6
49.9,2.4,152.1,105.27
50,2.42,153.58,104.96
50.1,2.44,151.28,104.76
50.2,2.45,104.58,104.74
50.3,2.48,118.72,104.77
50.4,2.5,109.35,104.77
50.5,2.48,111.48,104.77
50.6,2.44,113.13,104.83
50.7,2.41,116.09,105.2
50.8,2.44,123.49,105.69
50.9,2.47,102.44,106.53
51,2.49,97.18,107.21
51.1,2.48,131.71,107.39
51.2,2.46,150.62,107.04
51.3,2.46,142.56,107.11
51.4,2.43,123.16,107.44
51.5,2.42,120.86,107.3
51.6,2.42,134.5,106.5
51.7,2.44,133.85,105.69
51.8,2.44,134.01,105.31
51.9,2.44,133.52,105.01
52,2.44,127.6,104.88
52.1,2.44,107.7,104.85
52.2,2.44,98.66,104.85
52.3,2.43,116.25,104.83
52.4,2.42,128.75,104.83
52.5,2.42,143.22,104.81
52.6,2.43,178.24,104.79
52.7,2.43,120.86,104.79
52.8,2.43,136.31,104.79
52.9,2.44,162.62,104.85
53,2.45,157.69,104.87
53.1,2.45,97.84,104.89
53.2,2.43,169.04,104.86
53.3,2.42,116.25,104.83
53.4,2.44,150.29,104.85
53.5,2.44,116.09,104.87
53.6,2.45,123.32,104.99
53.7,2.45,117.4,105.31
53.8,2.45,107.54,105.68
53.9,2.46,101.29,105.96
54,2.47,104.74,106.01
54.1,2.47,112.96,106
54.2,2.47,100.96,106.01
54.3,2.46,108.36,106
54.4,2.47,91.26,105.99
54.5,2.47,116.75,105.96
54.6,2.47,109.35,105.92
54.7,2.46,99.32,105.83
54.8,2.46,139.11,105.76
54.9,2.46,126.45,105.67
55,2.47,147.82,105.39
55.1,2.48,140.59,105.1
55.2,2.49,129.24,104.82
55.3,2.49,146.67,104.78
55.4,2.48,117.4,104.76
55.5,2.48,143.88,104.77
55.6,2.48,136.97,104.76
55.7,2.47,143.71,104.8
55.8,2.46,155.88,104.76
55.9,2.44,159.33,104.8
56,2.43,122.01,104.76
56.1,2.43,136.81,104.78
56.2,2.43,176.11,104.75
56.3,2.43,129.57,104.79
56.4,2.46,146.84,104.77
56.5,2.47,110.83,104.76
56.6,2.48,123.32,104.74
56.7,2.47,130.07,104.76
56.8,2.47,101.78,104.78
56.9,2.47,125.3,104.79
57,2.47,106.22,104.77
57.1,2.47,108.69,104.75
57.2,2.44,126.94,104.75
57.3,2.4,116.75,104.76
57.4,2.39,104.74,104.79
57.5,2.41,125.79,104.78
57.6,2.45,148.32,104.78
57.7,2.45,90.6,104.71
57.8,2.45,109.02,104.73
57.9,2.44,121.51,104.83
58,2.43,108.03,105.08
58.1,2.44,156.7,105.05
58.2,2.45,95.86,104.96
58.3,2.46,153.25,104.78
58.4,2.46,99.81,104.79
58.5,2.45,97.84,104.77
58.6,2.43,129.08,104.77
58.7,2.43,115.76,104.76
58.8,2.44,134.01,104.79
58.9,2.46,93.56,104.78
59,2.47,151.93,104.8
59.1,2.46,167.72,104.76
59.2,2.44,124.15,104.77
